"ramName","ramPrice","ramScore"
"Corsair CMK5X16G1E60C36A2 16GB",NA,32679
"Kingston 9905792-115.A00G 8GB",NA,32529
"Kingston KF560C30-16 16GB",NA,32522
"Patriot Memory (PDP Systems) PSD516G480081 16GB",NA,32517
"Crucial Technology CT16G56C46S5.C8D 16GB",58.99,32458
"G Skill Intl F5-5200J3636C16G 16GB",179,32448
"Micron Technology MTC16C2085S1UC48BA1 CF 32GB",NA,32429
"G Skill Intl F5-5600J4040D48G 48GB",NA,32355
"Patriot Memory (PDP Systems) 5200 C36 Series 8GB",NA,32300
"Corsair CMH64GX5M2B5600Z40 32GB",372.95,32293
"Corsair CMK32GX5M2X6600C32 16GB",NA,32248
"A-DATA Technology AX5U6000C3016G-DTLABRBK 16GB",NA,32238
"A-DATA Technology AX5U6000C3016G-DCLARWH 16GB",196.95,32228
"Corsair CMH32GX5M2X6600C32 16GB",NA,32205
"A-DATA Technology AX5U6000C4016G-CLARBK 16GB",NA,32170
"Crucial Technology CT16G52C42U5.M8G1 16GB",62.99,32093
"A-DATA Technology AX5U6400C3232G-BLARBK 32GB",NA,32073
"Golden Empire CL34-45-45 D5-7200 16GB",NA,32062
"Crucial Technology CT16G56C46U5.C8B2 16GB",60.99,32055
"Crucial Technology CT16G56C46S5.M8D1 16GB",NA,32008
"Crucial Technology CP16G60C36U5B.M8D1 16GB",NA,31942
"Corsair CMK48GX5M2E6000C36 24GB",NA,31942
"A-DATA Technology AX5U6000C3016G-BLABRBK 16GB",NA,31931
"Corsair CMH64GX5M2B6200C32 32GB",NA,31920
"Corsair CMT32GX5M2X6400C38 16GB",NA,31876
"Transcend Information JM4800ALE-16G 16GB",NA,31873
"A-DATA Technology AX5U5600C3616G-BLARBK 16GB",NA,31871
"Corsair CMK64GX5M2B5600Z40 32GB",289,31858
"Kingston KVR48U40BS8-16 16GB",95.95,31856
"A-DATA Technology AX5U5600C3616G-DCLARBK 16GB",NA,31812
"A-DATA Technology AX5U6400C3216G-BLABRBK 16GB",NA,31752
"A-DATA Technology AX5U6400C3216G-BLARWH 16GB",NA,31690
"Golden Empire CL40-48-48 D5-6000 24GB",NA,31681
"Essencore Limited KD5AGUA80-76B360G 16GB",NA,31651
"Crucial Technology CT16G56C46S5.M8G1 16GB",53.99,31620
"Crucial Technology CP16G60C48U5.M8B2R 16GB",NA,31619
"Kimtigo Semiconductor (HK) Limited KTB900D5S8/16GB5600 16GB",NA,31618
"Corsair CMK16GX5M1B5600C40 16GB",NA,31617
"Essencore Limited KD5AGUA80-72B340G 16GB",NA,31554
"A-DATA Technology AX5U5600C3616G-DCLABK 16GB",NA,31460
"Essencore Limited KD5AGUA80-56G4600 16GB",NA,31457
"G Skill Intl F5-5600J3036D16G 16GB",203.95,31422
"G Skill Intl F5-6400J3239F24G 24GB",NA,31406
"Corsair CMT32GX5M2B5600Z36 16GB",267.95,31395
"Corsair CMK5X32G2B52Z40A2 32GB",NA,31389
"Corsair CMK5X16G1B60Z40A2 16GB",NA,31383
"G Skill Intl F5-5200S3838A16G 16GB",85.95,31378
"Team Group Inc. UD5-7800 16GB",NA,31373
"Corsair CMK64GX5M4B6600C32 16GB",NA,31329
"Corsair CMSX64GX5M2A5600C48 32GB",NA,31300
"Patriot Memory (PDP Systems) 5600 C40 Series 8GB",NA,31287
"Lexar Co Limited LD5EU016G-6400LA 16GB",NA,31261
"Kingston KF560C36-32 32GB",NA,31232
"A-DATA Technology AX5U6000C3016G-BLABBK 16GB",NA,31217
"A-DATA Technology AX5U6000C3616G-BLABK 16GB",NA,31133
"G Skill Intl F5-6000J3636F16G 16GB",175,31116
"Corsair CMK96GX5M2B6000C30 48GB",NA,31102
"Corsair CMK32GX5M2B5600Z40 16GB",NA,31098
"A-DATA Technology AX5U5200C388G-DCLABK 8GB",NA,31083
"A-DATA Technology AX5U6000C4016G-BLABK 16GB",NA,31024
"Patriot Memory (PDP Systems) 6000 C36 Series 16GB",NA,31003
"Corsair CMH96GX5M2B6400C32 48GB",NA,31000
"V-Color Technology Inc. RTMXSL1660836KWK 16GB",NA,30952
"Corsair CMH32GX5M2X6400C38 16GB",NA,30930
"G Skill Intl F5-5600S4645A16G 16GB",NA,30921
"A-DATA Technology AX5U5200C3816G-BLABK 16GB",NA,30920
"Corsair CMH64GX5M2Y6400C32 32GB",NA,30889
"Kingston 9965794-016.A00G 32GB",NA,30852
"Corsair CMP32GX5M2B6000C30 16GB",NA,30830
"A-DATA Technology AX5U5200C3816G-CLARBK 16GB",NA,30750
"CFD Sales Inc W5U5600CS-16G 16GB",NA,30653
"G Skill Intl F5-6400J3648G24G 24GB",NA,30627
"G Skill Intl F5-5600S4645A32G 32GB",NA,30557
"Patriot Memory (PDP Systems) 6000 C42 Series 24GB",NA,30503
"Kingston KF560C36-16 16GB",NA,30471
"Samsung M323R2GA3PB0-CWMOL 16GB",NA,30460
"G Skill Intl F5-5600J2834F16G 16GB",198.95,30441
"Acer BL.9BWWR.366 16GB",NA,30334
"A-DATA Technology AX5U6000C3016G-SLABBK 16GB",NA,30306
"Kingston KF552C36-16 16GB",NA,30240
"Patriot Memory (PDP Systems) PSD58G56002 16GB",NA,30178
"Lexar Co Limited LD5U16G68C34LA 16GB",NA,30046
"A-DATA Technology AX5U6400C4016G-DCCARGY 16GB",NA,30031
"Crucial Technology CP16G56C46U5.M8D1 16GB",NA,30026
"Corsair CMH5X16G1B56C36A2 16GB",NA,30004
"A-DATA Technology AD5S56008G-B 8GB",NA,29995
"Corsair CMK5X32G2B52C40A2 32GB",NA,29955
"Corsair CMT64GX5M4B6200C32 16GB",NA,29944
"Patriot Memory (PDP Systems) PSD532G56002 32GB",NA,29942
"A-DATA Technology AX5U6400C3232G-BLARWH 32GB",NA,29850
"Patriot Memory (PDP Systems) PSD532G56002S 32GB",NA,29815
"Corsair CMK32GX5M2B6800C40 16GB",NA,29808
"Acer BL.9BWWR.374 16GB",159,29758
"A-DATA Technology AX5U6000C3016G-BLABWH 16GB",NA,29752
"SanMax Technologies Inc. SMD5-U32G88HA-56BB 32GB",NA,29709
"PNY Technologies, Inc. 16GP1X1660HHH76-13-K 16GB",NA,29630
"Crucial Technology CP16G60C36U5W.M8D1 16GB",NA,29621
"A-DATA Technology AX5U6400C3216G-BLABRWH 16GB",NA,29590
"G Skill Intl F5-6000J3040F16G 16GB",169,29572
"A-DATA Technology AX5U5600C3616G-B 16GB",NA,29560
"Kingston KF572C38-24 24GB",NA,29553
"A-DATA Technology AX5U6000C3032G-DCLARBK 32GB",426.95,29521
"Kingston 9905783-047.A01G 16GB",NA,29507
"G Skill Intl F5-5200J4040A16G 16GB",149,29475
"Chun Well Technology Holding Limited D4U0840140B 8GB",NA,29420
"Team Group Inc. TOMGROUP-UD4-4200 8GB",NA,29376
"Kingston KF556C36-8 8GB",NA,29354
"Galaxy Microsystems Ltd. D4U0840185B 8GB",NA,29311
"Wilk Elektronik S.A. IR-6400D564L32S/16G 16GB",NA,29285
"G Skill Intl F5-8000J3848H16G 16GB",438.95,29209
"Corsair CMK128GX5M4B5600C40 32GB",NA,29186
"G Skill Intl F5-5600S4040A16G 16GB",NA,29152
"Corsair CMH96GX5M2B6800C40 48GB",NA,29130
"Team Group Inc. UD5-6400 16GB",NA,29048
"Kingston KF556C36-32 32GB",NA,29017
"Kingston 9965800-015.A00G 16GB",NA,29012
"Team Group Inc. UD5-6000 16GB",NA,29010
"Patriot Memory (PDP Systems) 6400 C32 Series 16GB",NA,28991
"G Skill Intl F4-3800C13-8GTZN 8GB",NA,28979
"Corsair CM5S8G1M4800A40S2 8GB",NA,28969
"Corsair CMH32GX5M2B6200C36 16GB",175,28930
"Corsair CMH32GX5M2E6200C36 16GB",NA,28893
"Kingston KF552C40-32 32GB",NA,28870
"Corsair CMH32GX5M2B6800C40 16GB",NA,28842
"Acer BL.9BWWR.438 32GB",NA,28804
"Patriot Memory (PDP Systems) 5600 C36 Series 16GB",NA,28767
"Patriot Memory (PDP Systems) PSD516G560081 16GB",NA,28758
"A-DATA Technology AX5U5200C388G-B 8GB",NA,28754
"A-DATA Technology AX5U6400C3216G-DTLABRBK 16GB",NA,28709
"Corsair CMH64GX5M2N6000C30 32GB",NA,28703
"G Skill Intl F5-5600J3636D32G 32GB",355.95,28693
"A-DATA Technology AX5U6000C4016G-BLARBK 16GB",NA,28685
"Kingston KF560C32-32 32GB",NA,28677
"G Skill Intl F5-5600J3036D32G 32GB",842.95,28622
"PNY Technologies, Inc. 16GP1X1660JJJ77-13-K3-RGB 16GB",NA,28607
"Team Group Inc. UD5-4800 8GB",NA,28599
"G Skill Intl F5-6400J3239F48G 40GB",673.95,28555
"Acer BL.9BWWR.350 16GB",NA,28534
"Micron Technology MTC16C2085S1UC48BA1 32GB",NA,28515
"Corsair CMH64GX5M2B6000C38 32GB",NA,28511
"A-DATA Technology AX5U6000C3032G-BLABK 32GB",NA,28497
"Patriot Memory (PDP Systems) 6200 C40 Series 16GB",NA,28465
"Kingston 9905789-040.A00G 32GB",NA,28423
"Crucial Technology CT16G56C46S5.C8B2 16GB",59.99,28413
"Avant Technology AVJ646GUA1K6560P09-BAXB7 48GB",NA,28393
"Corsair CMK32GX5M2X6400C38 16GB",NA,28377
"Acer BL.9BWWR.361 16GB",186.15,28363
"Team Group Inc. UD5-8000 16GB",NA,28357
"A-DATA Technology AX5U5600C3616G-BB20 16GB",NA,28342
"Corsair CMH32GX5M2X7000C36 16GB",NA,28302
"Kingston KF560C32-16 16GB",NA,28288
"Corsair CMK5X16G1E60Z36A2 16GB",NA,28255
"Corsair CMH32GX5M2B6000C40 16GB",179,28227
"A-DATA Technology AX5U5200C3816G-BLAWH 16GB",NA,28219
"Corsair CMK16GX5M1B5200C40 16GB",NA,28218
"A-DATA Technology AX5U6000C4016G-DCLABK 16GB",NA,28216
"Corsair CMK32GX5M2B6000C30 16GB",NA,28207
"G Skill Intl F5-8000J4048F24G 24GB",469,28200
"Corsair CMP32GX5M2X7200C34 16GB",329,28169
"Patriot Memory (PDP Systems) 5200 C40 Series 32GB",NA,28163
"A-DATA Technology AX5U6000C3016G-BLABK 16GB",NA,28142
"A-DATA Technology AX5U5600C3616G-DCLARWH 16GB",NA,28090
"Corsair CMH32GX5M2B6600C38 16GB",209.95,28084
"G Skill Intl F4-4000C14-16GVK 16GB",NA,28052
"Essencore Limited KD5AGUA80-64A320J 16GB",NA,28007
"Acer BL.9BWWR.228 8GB",NA,27969
"SK Hynix HMCG88MEBUA081N 32GB",NA,27963
"Wilk Elektronik S.A. IR-5600D564L30S/16G 16GB",NA,27877
"G Skill Intl F4-4000C16-16GTEG 16GB",NA,27867
"A-DATA Technology AX5U6400C3216G-DCLARWH 16GB",229,27844
"Patriot Memory (PDP Systems) 8000 Series 24GB",NA,27817
"G Skill Intl F5-8200J4052F24G 24GB",NA,27739
"Corsair CMH32GX5M2E6000C36 16GB",159,27724
"Corsair CMK64GX5M2B6000C40 32GB",329,27630
"Kingston HP52U40S6HA-8FRAE 8GB",NA,27582
"G Skill Intl F5-5600J2834F32G 32GB",809.95,27566
"Crucial Technology CT8G56C46S5.M4G1 8GB",26.99,27554
"Corsair CMP64GX5M2B6000C30 32GB",NA,27549
"Kingston KF560C40-8 8GB",NA,27534
"OLOy Technology D5U1652382B-K88 16GB",NA,27517
"Acer BL.9BWWR.327 16GB",NA,27507
"Corsair CMH64GX5M2B6000C30 32GB",397.95,27504
"Corsair CMK5X32G2B56C36A2 32GB",NA,27490
"Kingston KF548C38-32 32GB",NA,27450
"Corsair CMK32GX5M2B6200C36 16GB",NA,27449
"Kingston KF560C40-16 16GB",NA,27431
"G Skill Intl F5-7800J3646H16G 16GB",NA,27390
"G Skill Intl F5-5200J4040A24G 24GB",NA,27385
"G Skill Intl F5-6400J3239G16G 16GB",189.95,27384
"Team Group Inc. UD5-5600 16GB",NA,27383
"A-DATA Technology AD5U56008G-B 8GB",NA,27360
"Corsair CMP64GX5M2B6400C32 32GB",529.95,27342
"G Skill Intl F4-3600C14-16GTZNA 16GB",NA,27336
"Crucial Technology CT32G52C42U5.M16G1 32GB",NA,27300
"A-DATA Technology AX5U6000C4016G-BLARWH 16GB",NA,27291
"Corsair CMT32GX5M2B6400C32 16GB",NA,27268
"Corsair CMH5X32G2B56Z40A2 32GB",NA,27259
"Corsair CMT32GX4M2Z3600C14 16GB",NA,27185
"Corsair CMK32GX5M2D6000C36 16GB",NA,27147
"G Skill Intl F5-6800J3445G32G 32GB",NA,27146
"G Skill Intl F4-4000C14-8GTZN 8GB",NA,27143
"Corsair CMT64GX5M2B5200C40 32GB",377.95,27121
"G Skill Intl F5-7600J3646G16G 16GB",269,27120
"Corsair CMT32GX5M2D6000C36 16GB",NA,27114
"Corsair CMT32GX5M2B6000C30 16GB",NA,27094
"Kingston KF556C40-8 8GB",NA,27069
"Patriot Memory (PDP Systems) 8000 C38 Series 16GB",NA,27057
"Crucial Technology CT32G56C46S5.C16D 32GB",83.79,26983
"Corsair CMK5S32G3B56Z40A2 32GB",NA,26983
"Corsair CMK64GX5M2B6000C30 32GB",339,26976
"G Skill Intl F4-4000C14-16GTES 16GB",NA,26969
"Corsair CMK32GX5M2B6400C36 16GB",178.95,26961
"G Skill Intl F4-4000C16-16GVKA 16GB",NA,26961
"G Skill Intl F5-6000J3636F32G 32GB",349,26960
"JUHOR JHE6800U3416JGRGB 16GB",NA,26951
"G Skill Intl F5-8400J4052G24G 24GB",571.95,26950
"Corsair CMT32GX5M2X6000C36 16GB",NA,26924
"Corsair CMK64GX5M2X6800C32 32GB",NA,26912
"A-DATA Technology AX5U6400C3216G-DTLABBK 16GB",NA,26907
"Corsair CMT16GX4M2Z3600C14 8GB",NA,26892
"Crucial Technology CP16G56C46U5.C8D 16GB",NA,26889
"Acer BL.9BWWR.352 32GB",NA,26874
"Patriot Memory (PDP Systems) 7000 Series 16GB",NA,26835
"Kingston KF560C30-8 8GB",NA,26764
"Corsair CMK5X16G1B56C36A2 16GB",NA,26756
"Corsair CMH32GX5M2B6000C30 16GB",219,26746
"Golden Empire CL38-44-44 D5-5600 16GB",NA,26742
"Chun Well Technology Holding Limited D4U0836161B 8GB",NA,26741
"Corsair CMK32GX5M2B7000C40 16GB",213.89,26737
"Corsair CMK32GX5M2B6400C32 16GB",167.99,26734
"Crucial Technology CP32G56C46U5.C16B2 32GB",NA,26731
"G Skill Intl F4-4000C14-16GTZN 16GB",NA,26729
"A-DATA Technology AX5U5600C4616G-BLABBK 16GB",NA,26718
"Hewlett-Packard 54N63AA# 16GB",NA,26692
"JUHOR JHE6000U4616JG 16GB",NA,26675
"G Skill Intl F5-6400J3239G32G 32GB",349,26671
"Corsair CMK32GX5M2X6200C32 16GB",NA,26658
"Corsair CMH32GX5M2D6000C36 16GB",220.95,26653
"Corsair CMK5X32G2A48C40A2 32GB",NA,26641
"Kingston KF564C32-16 16GB",NA,26636
"A-DATA Technology AD5S560032G-B 32GB",NA,26636
"Corsair CMH48GX5M2B5200C38 24GB",NA,26625
"Corsair CMT64GX5M2B6000C40 32GB",NA,26617
"Corsair CMK32GX5M2B6000C40 16GB",178,26601
"GIGA - BYTE Technology Co Ltd ARS32G60D5R 16GB",379,26599
"G Skill Intl F4-4000C16-8GTZNA 8GB",NA,26594
"Asgard VMA49UG-AMC1U2AV3 8GB",NA,26569
"G Skill Intl F4-3600C14-16GVKA 16GB",NA,26562
"G Skill Intl F5-5600J3636C16G 16GB",183.95,26540
"A-DATA Technology AX5U5600C3616G-BLARWH 16GB",NA,26516
"G Skill Intl F5-5600S4040A32G 32GB",NA,26511
"Essencore Limited KD5AGUA80-60E400S 16GB",NA,26511
"Corsair CMH32GX5M2B6400C32 16GB",189,26510
"Corsair CMW16GX4M2Z3600C14 8GB",NA,26508
"Corsair CMK5X8G1A52C40B2 8GB",NA,26505
