"GPUName","GPUPrice","GPUScore"
"Radeon HD 7660G + HD 7730M Dual",NA,881
"Radeon R7 PRO A12-9800",NA,877
"Radeon E6760",239.99,876
"Radeon R7 A8-7500",NA,875
"Intel UHD Graphics 617",NA,874
"Intel HD 6000",NA,873
"GRID M10-0B",NA,870
"Radeon R7 G",NA,869
"FirePro W2100",59,869
"Radeon HD 8570D + HD 6570 Dual",NA,868
"Intel HD 520",NA,867
"USB Mobile Monitor Virtual Display",NA,866
"Mobility Radeon HD 4850",NA,866
"Radeon HD 8470D + HD 6450 Dual",NA,862
"Radeon Vega 3 Athlon 300U",NA,861
"Radeon 520",89.99,861
"Radeon R7 A10-8750",NA,856
"Radeon Vega 3 Athlon Silver 3050U",NA,855
"FirePro 3D V4800",159.99,853
"Radeon R5 A6-9500 2C+6G",NA,853
"Radeon R7 A8-7500 4C+6G",NA,853
"Radeon HD 8500M/8700M",NA,852
"Radeon R5 435",NA,850
"Radeon Vega 3 Ryzen 3 3200U",NA,849
"Radeon R7 A8-7670K",NA,848
"Radeon R5 PRO A6-8570 2C+6G",NA,847
"FireGL V8600",NA,838
"Radeon HD 8470D + 6570 Dual",NA,837
"Radeon HD 8670D + R5 235 Dual",NA,836
"GeForce 920A",NA,836
"Radeon HD 4830",59.99,835
"Radeon HD 6650A",NA,835
"GeForce GT 730",109.99,835
"Radeon HD 7560D + 6570 Dual",NA,833
"Radeon HD 7520G + HD 7500/7600 Dual",NA,832
"Radeon HD 8650G + 8600/8700M Dual",NA,831
"GeForce GT 635",66.94,831
"Radeon HD 7660G + 7600M Dual",NA,831
"Intel HD 5200",NA,830
"Radeon R7 FX-8800P",NA,829
"GRID M60-0Q",NA,827
"Radeon R7 A8-7680",NA,826
"Radeon R7 PRO A10-8770E",NA,825
"Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D",NA,824
"Quadro FX 3800",259.13,823
"Radeon R7 A10 PRO-7850B",NA,822
"Radeon HD 3850 X2",NA,822
"Radeon R7 A8-9600 RADEON",NA,822
"Radeon HD 7540D + 7500 Dual",NA,821
"Radeon HD 8650G + HD 7600M Dual",NA,819
"Radeon HD 8550G + HD 8750M Dual",NA,819
"Radeon R7 M260DX",NA,816
"Radeon R7 A10 Extreme Edition",NA,816
"Radeon R9 M280X",NA,813
"GeForce GT 730M",NA,813
"Radeon HD 8670D + 7000 Dual",NA,811
"GeForce GT 445M",NA,811
"Radeon HD 7670",NA,805
"Radeon R5 M435",NA,804
"Radeon HD 5670",97.12,803
"Radeon HD 8550G + 8600/8700M Dual",NA,802
"Qualcomm Adreno 680 GPU",NA,802
"Radeon HD 8650G + HD 8790M Dual",NA,799
"Radeon HD 6800M",NA,798
"Radeon R7 PRO A10-9700",NA,798
"GeForce 9800 GX2",195,797
"Radeon R8 M445DX",NA,796
"Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual",NA,796
"GeForce GT 740M",NA,796
"Radeon HD 8550G + 8750M Dual",NA,795
"GRID M10-0Q",NA,795
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",NA,793
"A40-6Q",NA,787
"Radeon HD 8650G + 8750M Dual",NA,786
"Radeon R7 A8-7600",NA,785
"Radeon Ryzen 3 3250U",NA,785
"GeForce 825M",NA,782
"Radeon R7 PRO A6-9500 2C+6G",NA,781
"Radeon R7 A365",NA,781
"Radeon HD 8730M",NA,780
"Radeon R7 A10 PRO-7800B",NA,780
"Quadro K1000M",69.95,779
"Radeon R7 A10-7700K",NA,778
"Radeon Vega 3 Ryzen 3 3250U",NA,778
"Quadro 2000M",229.74,778
"Radeon HD 7660G + HD 7700M Dual",NA,777
"Radeon HD 7640G + 7500M/7600M Dual",NA,775
"Radeon HD 7730M",NA,774
"Radeon 535DX",NA,773
"Radeon Athlon Gold 3150U",NA,773
"Radeon HD 7600M + 7600M Dual",NA,773
"Radeon HD 8650G N HD 8650G + HD 8570M Dual",NA,773
"Mobility Radeon HD 5000",NA,773
"Radeon R7 A10-8850",NA,773
"GeForce GT 440",225,771
"Radeon R5 PRO A6-9500E 2C+4G",NA,770
"GeForce 730A",NA,770
"Radeon HD 4810",NA,769
"GeForce 9800 GTX",74.99,769
"Radeon R7 PRO A10-8750B",NA,767
"Radeon R7 M270",NA,766
"Radeon HD 8650G + HD 8600/8700M Dual",NA,763
"Mobility Radeon HD 5850",NA,763
"Radeon HD 6450 + 8470D Dual",NA,762
"Radeon HD 7660G + HD 7500/7600 Dual",NA,760
"Radeon HD 7660G + HD 8500M Dual",NA,758
"Radeon HD 8650G + HD 8600M N HD 8600M Dual",NA,757
"Radeon HD 7660G + 7700M Dual",NA,757
"Quadro 1100M",NA,755
"Radeon HD 7640G + 7450M Dual",NA,754
"Radeon HD 8570D + HD 7000 Dual",NA,753
"Radeon HD 6650M",NA,753
"Radeon R7 M365X",NA,750
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",NA,750
"IncrediblE HD 4600",NA,749
"Radeon M535DX",NA,749
"Qualcomm Adreno 7c Gen 3 GPU",NA,748
"Radeon HD 7640G + 7650M Dual",NA,747
"Radeon HD 7660G + HD 8600/8700M Dual",NA,747
"Intel Iris 5100",NA,746
"Radeon HD 8670D + R5 330 Dual",NA,746
"Radeon HD 7660G + 7610M Dual",NA,745
"Radeon R7 A8-7650K",NA,745
"Quadro K420",269,744
"Radeon R5 235 + HD 7560D Dual",NA,743
"Radeon HD 7660G + 7670M Dual",NA,743
"GeForce GT 730A",NA,742
"Radeon HD 8650G + 7600M Dual",NA,741
"Intel Poison Ivy",NA,738
"GeForce GT 340",52.99,738
"Radeon HD 7670M + 7670M Dual",NA,738
"Radeon R5 235 + HD 8570D Dual",NA,737
"Quadro K600",60.24,736
"Radeon Vega 3 Ryzen Embedded R1505G",NA,736
"Radeon R7 A12-9720P RADEON",365.48,734
"Intel UHD Graphics 615",NA,734
"Radeon R5 A10-9620P 4C+6G",NA,731
"Radeon R7 A12-9700P RADEON",435.92,730
"Radeon HD 7550M/7650M",NA,728
"GRID K140Q",NA,727
"Radeon HD 6670",68.99,726
"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",NA,726
"Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D",NA,722
"Radeon HD 8650G + R5 M200 Dual",NA,722
"Mi Pad 5 Adreno 640 GPU",NA,722
"GeForce 920M",NA,720
"Asus GTX 650 FML II EC-EGPU",NA,720
"Mobility Radeon HD 4870",NA,719
"Radeon HD 7540D + 6570 Dual",NA,719
"Radeon R7 PRO A8-8650B",NA,718
"Radeon HD 8670D + HD 7000 Dual",NA,718
"Quadro K610M",240,718
"Radeon HD 8470D + 6450 Dual",NA,717
"Radeon R7 A10-7800",NA,716
"Radeon HD 8650G + HD 8570M Dual",NA,716
"Intel UHD Graphics 610",NA,711
"Radeon HD 7660G + HD 8670M Dual",NA,711
"Intel HD 615",NA,708
"Radeon HD 3870 X2",NA,708
"Radeon HD 6550A",NA,707
"Radeon HD 7660G + HD 7670M Dual",NA,706
"GeForce GT 640M LE",849.99,706
"Radeon R7 FX-9800P RADEON",530,706
"Radeon HD 7640G + 7600M Dual",NA,705
"Radeon HD 7660G N HD 7660G + HD 7670M Dual",NA,704
"Radeon HD 7640G + HD 7600M Dual",NA,704
"Radeon R7 PRO A12-9800B",NA,702
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",NA,699
"TRINITY DEVASTATOR MOBILE",NA,699
"Radeon HD 7570M/HD 7670M",NA,699
"Radeon R5 A6-7480",NA,698
"Radeon R5 PRO A10-8730B 4C+6G",NA,695
"Radeon R5 PRO A6-9500B 2C+4G",NA,693
"NVS 510",111.99,692
"Radeon Athlon Silver 3050U",NA,691
"Radeon HD 7640G + 7700M Dual",NA,690
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",NA,689
"Radeon R5 PRO A6-8530B 2C+4G",NA,689
"Radeon HD 7640G + 8600/8700M Dual",NA,688
"Intel HD 610",NA,686
"Radeon HD 8650G + R5 M230 Dual",NA,686
"Radeon HD 6630M",NA,684
"GRID P40-3Q",NA,681
"Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D",NA,679
"Radeon HD 7640G N HD 7640G + HD 7670M Dual",NA,679
"GeForce GTS 160M",NA,678
"GeForce GT 630",147.01,677
"Radeon HD 7640G + HD 8670M Dual",NA,677
"Radeon Vega 3 Athlon 320GE",NA,677
"Radeon HD 8610G + R5 M200 Dual",NA,676
"Quadro FX 4700 X2",NA,676
"Radeon R8 M535DX",NA,670
"GeForce GT 740A",NA,667
"Radeon R7 A8 PRO-7600B",NA,666
"GeForce GT 530",49,666
"Radeon HD 7640G + HD 8500M N HD 8500M Dual",NA,665
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",NA,665
"FirePro M7740",NA,665
"Radeon HD 8550G + 8690M Dual",NA,664
"FireGL V7700",69.99,660
"Radeon HD 2900 XT",NA,659
"Radeon R5 PRO A8-9600B 4C+6G",NA,658
"GeForce GT 140",NA,657
"GeForce 810A",NA,655
"Radeon R7 M340",NA,655
"Radeon HD 7640G + 8750M Dual",NA,654
"Radeon HD 8550G + HD 8600/8700M Dual",NA,654
"Radeon HD 8650G + 8570M Dual",NA,654
"GeForce GT 555M",177.2,654
"GeForce GTS 360M",NA,653
"Radeon HD 8650G + HD 8750M Dual",NA,651
"Radeon HD 7520G + HD 8750M Dual",NA,651
"GRID K1",395,650
"SUMO 9640",NA,650
"Radeon R5 M430",NA,648
"GeForce GT 735M",NA,648
"Radeon R8 M365DX",NA,647
"FireStream 9170",NA,647
"Radeon HD 6670 + 6670 Dual",NA,646
"Radeon HD 8610G + HD 8500M Dual",NA,645
"Radeon HD 7640G + 7670M Dual",NA,644
"Radeon HD 7540D + HD 6450 Dual",NA,643
"GeForce 8800 Ultra",619.99,642
"Quadro K510M",NA,641
"FirePro V3900",238.44,640
"Radeon Vega 3 Ryzen Embedded R1606G",NA,638
"Radeon R5 PRO A6-8570E 2C+4G",NA,637
"Radeon HD 7640G + 7400M Dual",NA,637
"Radeon HD 8450G + 8750M Dual",NA,637
"GeForce GTX 285M",NA,636
"GeForce 9800 S",NA,635
"Radeon HD 8650G + 8670M Dual",NA,635
"Intel HD P4600/P4700",NA,634
"Radeon HD 8650G + HD 7670M Dual",NA,634
"Radeon HD 7660D + HD 7000 Dual",NA,633
"Radeon HD 5600/5700",NA,633
"Intel HD 515",NA,632
"Radeon HD 7610M",NA,632
"Radeon HD 7640G + HD 7700M N HD 7700M Dual",NA,630
"Radeon HD 7660G + 7470M Dual",NA,630
"Radeon HD 8510G + HD 8500M Dual",NA,629
"Radeon R7 PRO A10-9700B",NA,628
"GRID K160Q",NA,628
"Intel HD 4600",NA,628
"GeForce GT 710",249.99,628
"Radeon HD 2900 PRO",NA,627
"Radeon HD 7640G + 7500/7600 Dual",NA,627
"Radeon HD 8650G + 8500M Dual",NA,626
"NVS 5400M",NA,625
"Radeon HD 7520G + HD 8600/8700M Dual",NA,623
"Intel HD 510",NA,622
"Radeon HD 7640G + HD 7400M Dual",NA,621
"Radeon HD 8570 + 8670D Dual",NA,620
"Intel HD 4600 manual-gen9_2015-134121",NA,619
"Radeon HD 8550G + R5 M200 Dual",NA,619
"Radeon R6",NA,619
"Radeon R5 A10-9600P 4C+6G",NA,619
"Radeon HD 8550G + 8600M Dual",NA,617
"Radeon HD 7500G + 7500M/7600M Dual",NA,616
"FireGL V7600",NA,615
"Intel UHD 630",NA,614
"Radeon R7 PRO A12-8830B",NA,614
"GeForce 720A",NA,614
"GeForce GT 720",99.99,613
"Radeon HD 8650G + 8600M Dual",NA,613
"Radeon HD 7570",102.49,612
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",NA,612
"Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D",NA,611
"7900 MOD - Radeon HD 6520G",NA,610
"Radeon HD 8610G + 8500M Dual",NA,610
"Radeon R7 A360",NA,607
"Radeon HD 7640G + HD 8500M Dual",NA,607
"Radeon HD 8650G + HD 8600M Dual",NA,606
"Radeon R6 M255DX",NA,605
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",NA,605
"GeForce 9800 GTX/9800 GTX+",89.99,605
"Intel HD P4600",NA,604
"Radeon HD 8550G + 8500M Dual",NA,602
"GeForce 910M",NA,601
"Radeon HD 8610G + 8670M Dual",NA,599
"GeForce GT 430",139.99,599
"Radeon Vega 3 Athlon Gold 3150U",NA,598
"Radeon R7 PRO A12-8800B",NA,597
"Matrox C420 LP PCIe x16",NA,597
"GeForce GTS 250",86.06,596
"Radeon HD 8510G + 8500M Dual",NA,596
"Radeon R5 M330",NA,595
"Radeon HD 7640G + 7470M Dual",NA,595
"Qualcomm Adreno 7c+ Gen 3",NA,594
"Radeon HD 8550G + HD 8600M Dual",NA,593
"Surface Duo Adreno 640 GPU",NA,592
"Radeon HD 7520G + 7600M Dual",NA,591
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",NA,590
"GeForce 8800 GTX",119.99,590
"Intel HD 5500",NA,590
"Radeon HD 7640G + HD 7700M Dual",NA,589
"Radeon HD 8610G + 8600M Dual",NA,588
"Radeon HD 7520G + 7610M Dual",NA,588
"Radeon HD 7660G + 7400M Dual",NA,588
"Radeon HD 7660G + 8670M Dual",NA,587
"Radeon HD 7640G + HD 8600/8700M Dual",NA,586
"Radeon R5 A6-8500P",NA,586
"Radeon HD 7640G + 8500M Dual",NA,585
"Quadro FX 3800M",NA,585
"Radeon HD 8650G + HD 8670M Dual",NA,585
"Intel HD 5000",625,585
"Radeon R7 A8-7A8-7600",NA,583
"Radeon HD 7520G + 7500/7600 Dual",NA,582
"Radeon HD 8550G + 8670M Dual",NA,579
"Radeon HD 8450G + R5 M230 Dual",NA,578
"Radeon HD 8610G + HD 8670M Dual",NA,577
"Radeon HD 7620G + 8670M Dual",NA,577
"Intel Skylake HD DT GT2",NA,576
"Radeon R5 A240",NA,576
"GeForce GTX 280M",NA,575
"Radeon HD 7520G + HD 7700M Dual",NA,574
"Radeon R5 420",39.95,574
"Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760",NA,574
"GeForce GT 720A",NA,573
"GeForce GT 550M",NA,573
"Radeon R7 M360",NA,572
"Quadro 500M",275.14,570
"Radeon R6 + R7 M265DX Dual",NA,570
"Radeon HD 7650A",262,569
"Radeon Vega 3 3020e",NA,568
"Radeon HD 7560D + 6450 Dual",NA,568
"Radeon HD 7660G + HD 7600M Dual",NA,568
"GeForce 8800 GTS 512",NA,568
"Quadro 1000M",54.5,566
"Radeon HD 8550D",NA,566
"Radeon HD 6610M",NA,565
"Radeon R7E",NA,564
"Radeon HD 7560D + R5 235 Dual",NA,563
"GeForce GT 820M",NA,560
"Radeon HD 7640G + R5 M200 Dual",NA,559
"GeForce GT 635M",NA,559
"Radeon HD 8550G + HD 8500M Dual",NA,558
"Radeon HD 7640G + 8670M Dual",NA,558
"Radeon HD 7640G + 8570M Dual",NA,558
"GeForce GTS 240",64.99,556
"GeForce 820A",NA,555
"Radeon Athlon PRO 3045B",NA,555
"Radeon HD 3870",226.37,555
"GeForce 9800M GS",NA,554
"GF117",NA,554
"GeForce GTS 250M",NA,553
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",NA,553
"Radeon R7 7850A10-7850K",NA,551
"FireGL V8650",298.99,550
"Radeon HD 6570",64.99,550
"Radeon R5 M335",NA,548
"Radeon HD 8550G + HD 7600M Dual",NA,547
"Mobility Radeon HD 3870",NA,547
"FirePro 3D V5700",319.99,546
"Radeon HD 8550G + HD 8670M Dual",NA,546
"Radeon R7 M265",NA,545
"Radeon HD 8450G + 8600M Dual",NA,545
"FirePro 3D V7750",350,545
"Radeon HD 7520G + HD 7400M Dual",NA,544
"Radeon R5 240",85,544
"Radeon HD 7600G + HD 8670M Dual",NA,543
"Quadro FX 2700",NA,543
"Radeon HD 7520G + 7470M Dual",NA,542
"Radeon Vega 2 Athlon Silver 3050U",NA,542
"Radeon R6 A10-8700P",NA,541
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",NA,539
"Qualcomm Adreno 675 GPU",NA,539
"GeForce GT 630M",NA,538
"Radeon R6 PRO A10-8700B 4C+6G",NA,538
"Radeon R5 M255",NA,536
"GeForce GT 435M",NA,535
"Radeon HD 7560D + HD 7000 Dual",NA,534
"Quadro 600",76,533
"GRID K180Q",NA,533
"Radeon HD 8670D",NA,533
"Radeon HD 8550G + 8570M Dual",NA,532
"Radeon R6 PRO A8-8600B 4C+6G",NA,531
"RADEON HD6530D",NA,531
"Radeon HD 8550G + HD 8570M Dual",NA,529
"Mobility Radeon HD 5570",NA,527
"Radeon HD 7640G + 6400M Dual",NA,526
"Radeon HD 7600G N HD 7600G + HD ON HD Dual",NA,526
"Quadro FX 5600",295,525
"Radeon 6600M",NA,524
"Radeon HD 8650G",NA,524
"Radeon HD 7660D + R5 235 Dual",NA,523
"Radeon HD 7520G + 7670M Dual",NA,523
"GeForce GT 425M",NA,522
"Intel HD 4400",NA,521
"Radeon R5 330",339.99,520
"MCT USB3.0 External Device",NA,520
"Radeon HD 8670M",NA,520
"Radeon HD 7640G + HD 7670M Dual",NA,518
"IncrediblE HD 4000",NA,517
"Intel HD P4000",NA,516
"GeForce 615",NA,514
"NVS 5200M",NA,512
"Mobility Radeon HD 4830",NA,511
"Radeon HD 7640G + 7610M Dual",NA,510
"Radeon HD 7600G + HD 7550M Dual",NA,509
"Radeon HD 7620G + 8600M Dual",NA,508
"Radeon R5 PRO A6-8500B 2C+4G",NA,508
"Radeon HD 7620G + HD 8670M Dual",NA,507
"Mobility Radeon HD 5730",NA,506
"GeForce GT 240",160.97,506
"Radeon Vega 2",NA,506
"GeForce GTS 150M",NA,504
"Radeon HD 8450G + HD 8750M Dual",NA,503
"Radeon HD 7660D",NA,503
"Radeon HD 8690A",NA,501
"Radeon Vega 3 Athlon Silver 3050e",NA,500
"Radeon R7 M260",799,499
"Radeon R7 M265DX",NA,498
"TRINITY SCRAPPER MOBILE",NA,498
"SUMO 964A",NA,497
"Radeon HD 7500G + 7550M Dual",NA,497
"ASUS EAH4870x2",NA,496
"Radeon HD 7520G + HD 7670M Dual",NA,495
"GeForce 820M",NA,494
"GeForce 9800 GTX+",NA,494
"Radeon HD8530M",NA,490
"Radeon HD 8670D N HD 8670D + HD 8670D Dual",NA,488
"Radeon HD 8550G + R5 M230 Dual",NA,487
"GeForce 9600 GT",64.99,487
"Radeon R4E",NA,487
"Radeon HD 7520G + 7400M Dual",NA,486
"Radeon R5 M420",NA,486
"Radeon HD 8610G + HD 8600M Dual",NA,480
"Quadro K500M",NA,480
"Mobility Radeon HD 5000 Serisi",NA,478
"GeForce GT 625M",NA,478
"GeForce 8800 GT",213.5,478
"GeForce GT 540M",87.95,478
"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",NA,478
"Mobility Radeon HD 3870 X2",NA,477
"Radeon HD 8450G + HD 8670M Dual",NA,477
"Radeon HD 7600G + HD 7500M/7600M Dual",NA,476
"GeForce 800A",NA,476
"Radeon HD 5570",191.27,476
"Radeon HD 7660G",NA,476
"Radeon R6 A8-8600P",NA,474
"Radeon HD 8450G + 8670M Dual",NA,474
"Radeon HD 7640G + HD 8570M Dual",NA,474
"Radeon R5 M315",NA,473
"GeForce 710A",NA,473
"Radeon HD 7670M",629.99,472
"FirePro 3D V3800",149.99,472
"Radeon HD 8570D + R5 235 Dual",NA,470
"Quadro FX 3600M",NA,466
"Quadro FX 1800M",NA,466
"SUMO 9644",NA,465
"Radeon HD 7660D + 7470 Dual",NA,465
"Radeon 3020e",NA,465
"Radeon HD 7550M",NA,464
"FirePro V5700",188.06,464
"Mobility Radeon HD 4670",NA,463
"GeForce 8800M GTX",NA,462
"Intel HD Family",NA,461
"Radeon HD 7640G",NA,461
"GeForce GT 320",32.69,461
"GeForce 9800 GT",147.26,460
"Radeon HD 7660G + HD 7600M N HD 7600M Dual",NA,460
"GeForce GT 720M",NA,460
"GeForce GT 525M",NA,459
"GeForce 710M",NA,459
"Radeon HD 7560D",NA,457
"GeForce 800M",NA,457
"GeForce GT625M",NA,457
"Quadro FX 3700M",925,456
"GeForce 705M",NA,455
"Radeon R5 M320",NA,454
"GeForce 9800M GTX",328.5,454
"Radeon HD 7520G + 7650M Dual",NA,453
"Radeon HD 8450G + HD 8600M Dual",NA,452
"Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D",NA,451
"Radeon R5 M240",NA,449
"Mobility Radeon HD 5650",NA,449
"Radeon HD 7520G + HD 7600M Dual",NA,447
"Radeon HD 7660G + 8600M Dual",NA,445
"PHDGD Ivy 5",NA,445
"GeForce GT 710M",NA,443
"Radeon HD 7620G + HD 8600M Dual",NA,442
"Radeon HD 8570M",NA,441
"Quadro 410",129,437
"Radeon HD 7650M",NA,437
"Radeon HD 7600G + HD Dual",NA,435
"Radeon HD 8410G",NA,435
"GeForce GT 620M",NA,434
"Radeon HD 3850 AGP",NA,432
"Radeon HD 8570D",NA,431
"Quadro FX 4600",333.25,430
"Radeon HD 7570M",NA,426
"FirePro M2000",NA,425
"GeForce GT 420",155,424
"Radeon HD 7640G + HD 7500/7600 Dual",NA,423
"Radeon HD 7600G + 7550M Dual",NA,423
"RADEON HD6410D",NA,422
"Radeon HD 7640G N HD 7640G + HD 8570M Dual",NA,422
"Radeon R7 Eng Sample: ZM2111C1Y4382_34/21/13/06_98",NA,422
"Radeon HD 8500M",NA,420
"Intel 4th Generation Haswell HD",NA,419
"Quadro FX 2800M",190,417
"Radeon HD 8610G",NA,415
"Radeon R5 M230",NA,414
"GeForce 8800 GTS",79.99,412
"Radeon HD 8550G",NA,411
"GeForce 810M",NA,411
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",NA,408
"GeForce GTS 350M",NA,407
"Radeon HD 7470M",NA,407
"Radeon HD 7640G + HD 7600M N HD 7600M Dual",NA,406
"Radeon HD 7600G + 7500M/7600M Dual",NA,405
"RADEON E4690",NA,405
"Mobility Radeon HD 4650",NA,401
"Radeon HD 6550D",NA,400
"Intel HD 5300",NA,400
"Quadro FX 1800",135,398
"GeForce GT 420M",NA,397
"Radeon HD 8650D",NA,396
"GeForce GT 330",39.99,394
"Radeon R5 Opteron X3216",NA,394
"Radeon HD 3850",NA,392
"Radeon HD 7600G + 7450M Dual",NA,389
"IncrediblE HD",NA,389
"GeForce 7900 GTX",NA,387
"GeForce GT 335M",NA,382
"GeForce 8800M GTS",NA,382
"GeForce 9800M GT",NA,381
"GeForce GT 130",151.34,381
"Radeon HD 4670",142.96,379
"GeForce GTX 260M",NA,379
"Quadro FX 3700",213.27,377
"Radeon HD 6490M",1193.03,377
"Radeon HD 7520G + 8750M Dual",NA,376
"Radeon HD 7600G + 6400M Dual",NA,376
"Radeon HD 5550",54.99,376
"GeForce GT 620",154,376
"GeForce 9800M GTS",NA,376
"GRID P4-1Q",NA,375
"Radeon HD 8570D + HD8490 Dual",NA,374
"PHDGD Ivy 4",NA,374
"Radeon HD 8470D",NA,373
"Radeon 3015e",NA,372
"Intel UHD Graphics 605",NA,370
"GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT",NA,368
"Quadro FX 2700M",99.95,366
"Matrox Millennium P690 PCIe x16",NA,366
"Radeon HD4670",NA,365
"Mobility Radeon HD 3850",NA,365
"Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D",NA,364
"Radeon HD 7620G",NA,363
"Radeon HD 7660G + HD 8600M Dual",NA,363
"Intel HD 505",NA,360
"Radeon Vega 3 Ryzen Embedded R1305G",NA,358
"Radeon HD 8510G",NA,357
"Radeon HD 7500G + HD 7500M/7600M Dual",NA,355
"GeForce GT 625",NA,353
"Radeon HD 6480M",NA,353
"Mobility Radeon HD 565v",NA,353
"ZX C-1080",NA,351
"Radeon HD 7580D",NA,350
"GeForce 7950 GT",254.8,347
"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",NA,346
"Intel HD 4000",1592.95,346
"Radeon HD 8450G",NA,341
"FirePro 3D V3750",50.88,341
"Radeon HD 6620G",NA,341
"FireGL V5600",225,341
"Radeon HD 8310E",NA,340
"Radeon HD 7660D + HD 7400 Dual",NA,339
"Radeon HD 8570D + HD 8470 Dual",NA,338
"Radeon HD 6530D",NA,337
"Radeon R5 235",60.13,336
"Radeon R4",396.99,335
"GeForce GT 705",296.76,335
"FirePro RG220",650.18,335
"Radeon HD 7600G + 8500M/8700M Dual",NA,333
"Radeon HD 7540D",NA,332
"Radeon R5 310",499,331
"GeForce 8800 GS",NA,330
"GeForce 9600 GSO 512",NA,329
"Radeon HD 7450M",NA,329
"Radeon HD 7600G + HD 7400M Dual",NA,328
"GeForce 9600 GSO",107.39,327
"Radeon HD 7600G",NA,327
"GeForce GT 120 / 9500 GT",NA,324
"Radeon E6460",NA,323
"GeForce GT 230",43.99,323
"FirePro V3800",124.99,320
"Intel UHD Graphics 600",NA,320
"RADEON HD6370D",NA,320
"GeForce 240M GT",NA,319
"GeForce 605",136.83,319
"Mobility Radeon HD 560v",NA,318
"Radeon HD 7520G",NA,316
"GeForce GT 520",304,311
"GeForce GT 610",139.99,311
"Radeon HD 8370D",NA,311
"Radeon HD 7520G + 8600/8700M Dual",NA,311
"Radeon HD 7420G",NA,308
"Radeon HD 7500G",NA,307
"Radeon R3",NA,306
"Quadro FX 3500M",99.99,306
"Radeon HD 8350G",NA,304
"Microsoft Basic Display Adapter Ryzen 5 5600G",NA,302
"Radeon R1E",NA,301
"Radeon R5E",NA,300
"NVS 315",69.99,300
"Radeon HD 6520G",NA,299
"Intel HD 500",NA,298
"GRID K120Q",NA,293
"GeForce 9600M GT / GeForce GT 220M",NA,293
"Radeon HD 2900 GT",NA,292
"IncrediblE HD 3000",NA,291
"GeForce 7800 GTX",71.6,290
"GeForce 610M",NA,290
"Radeon HD 7470",81.37,289
"Radeon HD 7450A",NA,288
"GeForce 7950 Xtreme",NA,287
"GeForce GT 415M",NA,286
"Intel HD P3000",NA,284
"GeForce GT 520MX",NA,284
"Mobility Radeon HD 5165",NA,284
"GeForce GT 520M",29.95,283
"Qualcomm Adreno 630 GPU",NA,282
"Radeon HD 2600 XT",159,282
"GeForce 9600 GS",NA,281
"NVS 4200M",399,280
"Radeon HD 7480D",NA,279
"GeForce 9700M GTS",NA,278
"Radeon R5 235X",NA,277
"Radeon HD 6370M",NA,275
"Radeon HD 8400E",NA,275
"GeForce Go 7900 GTX",NA,270
"GeForce 9650M GS",NA,270
"Radeon HD 8280G",NA,269
"Radeon HD 5470",NA,268
"Radeon HD 7400G",NA,267
"Mobility Radeon HD 550v",NA,266
"Radeon HD 8400",NA,266
"Radeon HD 8330",NA,264
"GeForce Go 7950 GTX",NA,263
"Radeon HD 8490",89.99,263
"Radeon HD 8280",NA,260
"Radeon HD 6450A",NA,260
"Quadro FX 3500",68.98,259
"Radeon HD 8330E",NA,259
"GeForce 7900 GT",199,258
"Intel HD 3000",945,258
"Radeon HD 6480G",NA,256
"Radeon HD 8280E",NA,256
"GeForce 410M",NA,255
"Radeon HD 6370D",NA,255
"GeForce 510",69.99,254
"GeForce 7900 GS",NA,253
"GeForce GT 415",NA,251
"Radeon HD 8470",NA,250
"NVS 310",62.06,249
"Radeon HD 7640G + 8600M Dual",NA,249
"Radeon R2",NA,248
"GeForce 7900 GT/GTO",NA,247
"CARRIZO 9874",NA,246
"Radeon HD 8240",NA,246
"GeForce 7800 GT",80,244
"Quadro FX 5500",1999,242
"Radeon HD4650",152.9,239
"Radeon HD 7640G + R5 M230 Dual",NA,238
